"","MESQUITE.FLATS.SAND.MF.4B","MESQUITE.FLATS.SAND.MF.5B","MESQUITE.FLATS.SAND.MF.6B","MESQUITE.FLATS.SAND.MF.7B","MESQUITE.FLATS.SAND.MF.8B","MESQUITE.FLATS.SAND.MF.11A","MESQUITE.FLATS.SAND.MF.12A","MESQUITE.FLATS.SAND.MF.13A","MESQUITE.FLATS.SAND.MF.14B","MESQUITE.FLATS.SAND.MF.15A","MESQUITE.FLATS.SAND.MF.16A","MESQUITE.FLATS.SAND.MF.17A","MESQUITE.FLATS.SAND.MF.18B","MESQUITE.FLATS.SAND.MF.19A","MESQUITE.FLATS.SAND.MF.20A","MESQUITE.FLATS.SAND.MF.27B","MESQUITE.FLATS.SAND.MF.28A","MESQUITE.FLATS.SAND.MF.30A","MESQUITE.FLATS.SAND.MF.31B","MESQUITE.FLATS.SAND.MF.33A","EUREKA.SAND.ED.01A","EUREKA.SAND.ED.02B","EUREKA.SAND.ED.03A","EUREKA.SAND.ED.04A","EUREKA.SAND.ED.05A","EUREKA.SAND.ED.06A","EUREKA.SAND.ED.08A","EUREKA.SAND.ED.09A","EUREKA.SAND.ED.10A","EUREKA.SAND.ED.11A","EUREKA.SAND.ED.12A","EUREKA.SAND.ED.13A","EUREKA.SAND.ED.14B","EUREKA.SAND.ED.15B","EUREKA.SAND.ED.16A","EUREKA.SAND.ED.17B","EUREKA.SAND.ED.18A","EUREKA.SAND.ED.19A","EUREKA.SAND.ED.20A","EUREKA.SAND.ED.21A","EUREKA.SAND.ED.22A","EUREKA.SAND.ED.23A","EUREKA.SAND.ED.24A","EUREKA.SAND.ED.33A","IBEX.SAND.IX.1B","IBEX.SAND.IX.2A","IBEX.SAND.IX.3A","IBEX.SAND.IX.4B","IBEX.SAND.IX.5A","IBEX.SAND.IX.6A","IBEX.SAND.IX.7A","IBEX.SAND.IX.8A","IBEX.SAND.IX.9A","IBEX.SAND.IX.10A","IBEX.SAND.IX.10CM.A","IBEX.SAND.IX.2OCM.B","IBEX.SAND.IX.3OCM.A","IBEX.SAND.IX.40CM.A","IBEX.SAND.IX.50CM.A","IBEX.SAND.IX.60CM.A","IBEX.SAND.IX.70CM.A","IBEX.SAND.IX.80CM.A"
"Zotu1283",3,1,2,0,1,0,2,1,10,0,0,0,1,0,0,0,0,1,0,0,0,196,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"Zotu347",2,14,14,183,225,0,2,1,10,0,74,22,0,2,52,3,37,43,56,4,0,0,3,1,2,3,2,0,1,1,1,2,6,7,3,4,1,3,6,1,5,3,3,36,0,44,3,7,3,3,64,7,16,45,372,365,337,99,335,350,432,12
"Zotu43",199,11,41,41,21,27,36,62,28,17,19,18,17,26,20,3696,57,17,22,15,47,26,13,14,16,28,16,23,14,24,20,0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Zotu434",254,2,27,2,0,3,5,37,43,5,3,36,0,30,13,1,5,31,1,1,40,0,5,0,1,1,3,1,2,2,0,1,2,1,4,1,1,0,74,0,0,1,0,1,87,1,1,1,1,2,43,26,19,26,2,3,2,2,1,2,3,8
"Zotu1703",4,0,4,1,1,1,1,18,0,0,0,23,0,0,0,1,12,0,2,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,2,1,2,0,0,0,0,2,1,0,0,1,1,9,10,0,0,0,1,0,0,0,0,95
"Zotu467",7,4,22,0,2,1,3,7,34,2,44,32,1,24,28,3,54,1,90,7,11,3,6,5,4,7,1,1,187,1,1,0,0,1,84,0,0,0,2,2,1,1,1,0,0,1,1,0,0,2,1,15,7,2,1,0,0,0,0,0,1,10
"Zotu69",15,52,93,202,19,37,162,222,107,59,72,13,5,20,52,1240,336,13,12,15,68,15,11,16,20,13,16,15,25,16,12,3,5,3,4,2,0,5,2,28,3,0,1,7,109,1,1,37,142,85,75,56,16,1,1,0,2,6,1,2,2,91
"Zotu235",5,69,64,1,3,2,8,97,11,16,10,39,2,18,53,5,23,4,0,431,14,0,3,2,8,22,0,40,4,16,0,4,2,3,2,0,18,44,29,2,3,21,1,0,7,6,6,12,2,2,53,32,14,7,2,3,0,0,3,0,0,115
"Zotu2133",108,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zotu74",166,12,50,41,22,36,104,37,31,19,8,13,3,14,17,98,74,14,3,192,142,68,178,35,166,60,7,260,121,231,47,136,5,114,69,4,279,44,98,145,1,191,4,21,84,5,9,67,1,3,11,32,32,37,10,8,9,3,31,12,13,27
